_id	Population_Rank	Region	RegionType	State	0	HouseCost-01	HouseCost-02	HouseCost-03	HouseCost-04	HouseCost-05	HouseCost-06	HouseCost-07	HouseCost-08	HouseCost-09	HouseCost-10	HouseCost-11	HouseCost-12	HouseCost-13	HouseCost-14	HouseCost-15	HouseCost-16	HouseCost-17	HouseCost-18	HouseCost-19	HouseCost-20	HouseCost-21	HouseCost-22
102001	0	United States	country	0	115683.88416079652	124106	132736	142887	156306	174564	190022	191789	179945	163355	157763	149526	148448	158485	170058	180010	192036	204406	218517	230340	284027	328630	333509
394913	1	New York, NY	msa	NY	187211.52225206717	210513	237485	272714	308315	352458	386894	382628	364747	335307	325902	316054	309616	318398	336464	349689	367591	389543	424611	445786	513022	559824	565669
753899	2	Los Angeles, CA	msa	CA	235702.2438519878	261155	295954	351507	438687	530102	595919	584822	489649	411765	410748	387952	379082	438888	494273	521239	538760	579642	640730	659043	793299	901890	881948
394463	3	Chicago, IL	msa	IL	144210.74204794943	156602	169130	182056	196329	214048	229125	232235	219228	193132	179649	163560	153212	161432	177975	186705	197521	208625	219173	225402	260444	285494	287741
394514	4	Dallas, TX	msa	TX	129926.8662663508	132144	135366	139233	146878	151786	154970	157844	154619	150605	150012	144217	145986	156642	170288	187363	209405	230214	248440	257600	310250	370150	369431
394692	5	Houston, TX	msa	TX	118371.13835496324	119961	122879	126992	133810	140533	143203	148069	147502	143756	143609	137662	136641	144723	161457	179518	191456	199044	207697	216489	255599	298746	301907
395209	6	Washington, DC	msa	VA	181852.037190552	201258	228719	262818	310239	381347	426988	412936	364625	318543	315838	310605	316542	342322	363082	371652	380992	394085	409109	423269	498283	536441	533437
394974	7	Philadelphia, PA	msa	PA	115665.15633870492	122779	133568	150247	170867	196618	218125	222718	217495	205957	202320	191177	184512	187201	193206	198753	207101	216775	227112	236749	287074	317249	325776
394856	8	Miami, FL	msa	FL	109263.34586577408	119951	136678	156975	183598	229110	276871	274315	223157	168918	151148	139390	140335	162305	189023	210802	231723	251425	274876	288331	348584	429118	450167
394347	9	Atlanta, GA	msa	GA	144097.8807191144	154497	161884	166307	170341	176158	182761	186524	177519	155251	143473	126696	122976	136995	157116	169890	184099	199194	218075	233773	296231	360136	363764
394404	10	Boston, MA	msa	MA	218229.1831884625	253945	287224	322419	350423	377144	374728	356331	336248	316145	318430	309054	306303	328272	353309	375420	403499	433994	463958	478124	567863	619954	620075
394976	11	Phoenix, AZ	msa	AZ	144632.66520334533	152773	160098	168408	182449	239013	296914	281821	230621	170695	153036	135138	146678	180794	202000	213519	233501	249124	269144	286940	380277	452392	436748
395057	12	San Francisco, CA	msa	CA	304221.13383904874	361718	386633	421823	483792	578244	619235	600826	536533	463261	461140	431166	431879	522174	599088	682210	752595	800290	888549	901688	1067214	1186521	1115354
395025	13	Riverside, CA	msa	CA	142222.6550241715	157598	177001	208121	261738	334323	382502	374780	286138	202452	195649	190285	188567	224794	270031	291759	309692	333759	368551	382289	475001	555620	549396
394532	14	Detroit, MI	msa	MI	118629.76575463465	127644	133605	137996	142741	146437	147081	138522	120327	93429	82958	76479	78295	93865	112099	122605	133845	146418	159899	171324	206569	226893	229715
395078	15	Seattle, WA	msa	WA	230077.4412767759	244131	255086	266152	287564	327661	384374	415638	392584	342795	320642	287945	267494	295833	326012	357389	402555	451353	504149	514453	638557	726176	702894
394865	16	Minneapolis, MN	msa	MN	147358.02296233096	167606	186053	203154	220121	235755	242985	239066	220282	198709	194107	175988	172494	192741	209742	220727	236047	253532	270368	283274	334975	362526	359981
395056	17	San Diego, CA	msa	CA	227649.43756992277	265002	302710	362762	445154	524655	532202	497007	422674	358399	363142	343491	341181	393202	438581	470597	510715	550930	586816	599205	745249	868051	844861
395148	18	Tampa, FL	msa	FL	98487.27194165612	107066	117538	130462	147932	179790	215360	209872	175404	142219	130250	115654	113724	128524	144869	157948	175812	193814	210797	223544	288230	360303	364619
394530	19	Denver, CO	msa	CO	205163.6153544451	232154	244673	248665	252884	258396	261555	258579	248041	241104	241007	231466	235798	261477	287285	327496	367216	399014	427219	447186	535241	595974	582635
394358	20	Baltimore, MD	msa	MD	134258.77454759876	141078	153377	173074	201905	244053	280629	287929	273955	249032	238334	222994	219752	230503	241472	246076	252477	260708	269762	278051	322262	346621	351797
395121	21	St. Louis, MO	msa	MO	105588.9782673922	112969	121076	129749	138885	146815	153721	155663	151542	144924	141533	133020	127934	130173	134454	139568	146721	153614	160754	167624	201747	223414	228386
394943	22	Orlando, FL	msa	FL	120084.60554348426	128929	138746	149717	166642	206680	260068	257789	214272	162250	141666	126829	127748	147662	169792	183302	199827	217717	236325	251872	306250	373303	381567
394458	23	Charlotte, NC	msa	NC	137689.3831551257	142863	145425	147105	149542	153088	159752	168157	169728	159585	153015	142772	140344	147898	158010	167493	182099	197596	214377	227814	295192	357966	361590
395055	24	San Antonio, TX	msa	TX	106957.65657997815	105151	106145	109406	117158	124240	130237	138992	141381	136788	135497	131417	132290	138487	148862	160767	172709	183780	193998	202117	245655	288143	290906
394998	25	Portland, OR	msa	OR	177643.04520655007	182843	190525	199804	214735	244804	293744	313517	299962	268236	254004	232374	226929	251704	277536	305516	347502	379269	400942	412726	498274	551871	539615
395045	26	Sacramento, CA	msa	CA	173982.25526187642	204543	235228	276287	327389	402178	428427	385155	308730	255072	238254	217949	212459	258610	298445	321508	349991	380615	411097	425593	522322	582170	557278
394982	27	Pittsburgh, PA	msa	PA	75765.37198953128	79724	84036	88442	92288	96978	100629	102524	103826	103799	107848	106582	107588	111050	116037	121914	127336	132765	140443	146819	179875	192344	193314
394466	28	Cincinnati, OH	msa	OH	118095.939352388	123491	128082	132941	137734	142088	146047	145881	142443	134279	134060	126413	124564	129568	135799	142043	150837	160336	170645	182271	226920	252031	257721
394355	29	Austin, TX	msa	TX	173113.13463298907	178258	177845	177417	180870	187331	193099	200883	204150	197277	194901	188603	192530	210489	235273	261133	282378	297758	309214	319893	431046	511480	487002
394775	30	Las Vegas, NV	msa	NV	163050.33489504075	172674	183616	198523	251493	323924	344630	330135	254200	174506	146592	132830	130424	163424	194275	209207	223820	245839	281947	301709	352752	415090	401716
394735	31	Kansas City, MO	msa	MO	108793.55319685616	116323	123183	128568	133229	137490	142282	145546	144217	140142	138303	130535	127945	133023	140244	148809	160653	174132	188360	199264	245567	274510	281793
394492	32	Columbus, OH	msa	OH	125327.51874472784	130666	135942	141540	146332	151246	154050	152696	148747	142697	140311	134437	130528	135333	145014	154983	165353	175870	189464	203193	251509	284359	291303
394705	34	Indianapolis, IN	msa	IN	0.0	0	0	114182	116496	122242	124961	126588	125977	122905	122967	117883	117911	121527	128417	133993	141300	151033	163144	174794	224556	259789	263632
394475	35	Cleveland, OH	msa	OH	115276.1849864134	120508	124021	127982	133147	137419	140089	137062	130895	123157	119300	112233	109814	113736	116398	120735	127586	134655	142451	150309	181649	199737	205472
395059	36	San Jose, CA	msa	CA	414653.0245272879	501315	496928	510075	558767	663526	710078	711179	631176	529767	536723	506393	539295	657963	738606	843249	905682	938991	1140057	1135183	1307948	1510401	1451233
