_id	fema_string	disasternumber	state_code	incident_category	incident_description	incident_date	fips_state	fips_county	county_name
6443ad7adaa2a85b355379c8	DR-4693-NH	4693	NH	Severe Storm	SEVERE STORM AND FLOODING	2022-12-22T00:00:00.000Z	33	001	Belknap (County)
6443ad7adaa2a85b355379c9	DR-4693-NH	4693	NH	Severe Storm	SEVERE STORM AND FLOODING	2022-12-22T00:00:00.000Z	33	003	Carroll (County)
6443ad7adaa2a85b355379ca	DR-4693-NH	4693	NH	Severe Storm	SEVERE STORM AND FLOODING	2022-12-22T00:00:00.000Z	33	007	Coos (County)
6443ad7adaa2a85b355379cb	DR-4693-NH	4693	NH	Severe Storm	SEVERE STORM AND FLOODING	2022-12-22T00:00:00.000Z	33	009	Grafton (County)
6443ad7adaa2a85b355379cc	DR-4690-OK	4690	OK	Severe Storm	SEVERE WINTER STORM	2022-12-21T00:00:00.000Z	40	000	Creek (OTSA)
6443ad7adaa2a85b355379cd	DR-4685-GA	4685	GA	Severe Storm	SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES	2023-01-12T00:00:00.000Z	13	081	Crisp (County)
6443ad7adaa2a85b355379ce	DR-4685-GA	4685	GA	Severe Storm	SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES	2023-01-12T00:00:00.000Z	13	231	Pike (County)
6443ad7adaa2a85b355379cf	DR-4685-GA	4685	GA	Severe Storm	SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES	2023-01-12T00:00:00.000Z	13	035	Butts (County)
6443ad7adaa2a85b355379d0	DR-4685-GA	4685	GA	Severe Storm	SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES	2023-01-12T00:00:00.000Z	13	151	Henry (County)
6443ad7adaa2a85b355379d1	DR-4685-GA	4685	GA	Severe Storm	SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES	2023-01-12T00:00:00.000Z	13	159	Jasper (County)
6443ad7adaa2a85b355379d2	DR-4685-GA	4685	GA	Severe Storm	SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES	2023-01-12T00:00:00.000Z	13	199	Meriwether (County)
6443ad7adaa2a85b355379d3	DR-4685-GA	4685	GA	Severe Storm	SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES	2023-01-12T00:00:00.000Z	13	217	Newton (County)
6443ad7adaa2a85b355379d4	DR-4685-GA	4685	GA	Severe Storm	SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES	2023-01-12T00:00:00.000Z	13	255	Spalding (County)
