_id	costavg_2001	costavg_2002	costavg_2003	costavg_2004	costavg_2005	costavg_2006	costavg_2007	costavg_2008	costavg_2009	costavg_2010	costavg_2011	costavg_2012	costavg_2013	costavg_2014	costavg_2015	costavg_2016	costavg_2017	costavg_2018	costavg_2019	costavg_2020	costavg_2021	costavg_2022	populationrank	hlocation	us_state
102001	124106	132736	142887	156306	174564	190022	191789	179945	163355	157763	149526	148448	158485	170058	180010	192036	204406	218517	230340	284027	328630	333509	0	United States	0
394913	210513	237485	272714	308315	352458	386894	382628	364747	335307	325902	316054	309616	318398	336464	349689	367591	389543	424611	445786	513022	559824	565669	1	New York, NY	NY
753899	261155	295954	351507	438687	530102	595919	584822	489649	411765	410748	387952	379082	438888	494273	521239	538760	579642	640730	659043	793299	901890	881948	2	Los Angeles, CA	CA
394463	156602	169130	182056	196329	214048	229125	232235	219228	193132	179649	163560	153212	161432	177975	186705	197521	208625	219173	225402	260444	285494	287741	3	Chicago, IL	IL
394514	132144	135366	139233	146878	151786	154970	157844	154619	150605	150012	144217	145986	156642	170288	187363	209405	230214	248440	257600	310250	370150	369431	4	Dallas, TX	TX
394692	119961	122879	126992	133810	140533	143203	148069	147502	143756	143609	137662	136641	144723	161457	179518	191456	199044	207697	216489	255599	298746	301907	5	Houston, TX	TX
395209	201258	228719	262818	310239	381347	426988	412936	364625	318543	315838	310605	316542	342322	363082	371652	380992	394085	409109	423269	498283	536441	533437	6	Washington, DC	VA
394974	122779	133568	150247	170867	196618	218125	222718	217495	205957	202320	191177	184512	187201	193206	198753	207101	216775	227112	236749	287074	317249	325776	7	Philadelphia, PA	PA
394856	119951	136678	156975	183598	229110	276871	274315	223157	168918	151148	139390	140335	162305	189023	210802	231723	251425	274876	288331	348584	429118	450167	8	Miami, FL	FL
394347	154497	161884	166307	170341	176158	182761	186524	177519	155251	143473	126696	122976	136995	157116	169890	184099	199194	218075	233773	296231	360136	363764	9	Atlanta, GA	GA
394404	253945	287224	322419	350423	377144	374728	356331	336248	316145	318430	309054	306303	328272	353309	375420	403499	433994	463958	478124	567863	619954	620075	10	Boston, MA	MA
394976	152773	160098	168408	182449	239013	296914	281821	230621	170695	153036	135138	146678	180794	202000	213519	233501	249124	269144	286940	380277	452392	436748	11	Phoenix, AZ	AZ
395057	361718	386633	421823	483792	578244	619235	600826	536533	463261	461140	431166	431879	522174	599088	682210	752595	800290	888549	901688	1067214	1186521	1115354	12	San Francisco, CA	CA
395025	157598	177001	208121	261738	334323	382502	374780	286138	202452	195649	190285	188567	224794	270031	291759	309692	333759	368551	382289	475001	555620	549396	13	Riverside, CA	CA
394532	127644	133605	137996	142741	146437	147081	138522	120327	93429	82958	76479	78295	93865	112099	122605	133845	146418	159899	171324	206569	226893	229715	14	Detroit, MI	MI
395078	244131	255086	266152	287564	327661	384374	415638	392584	342795	320642	287945	267494	295833	326012	357389	402555	451353	504149	514453	638557	726176	702894	15	Seattle, WA	WA
394865	167606	186053	203154	220121	235755	242985	239066	220282	198709	194107	175988	172494	192741	209742	220727	236047	253532	270368	283274	334975	362526	359981	16	Minneapolis, MN	MN
